ID,Category,Name,Alt_Name,Description,Can_Own,Min_Status_Name,Max_Status_Name,Min_Status_Level,Max_Status_Level
100000000000,Agriculture,Animal Handler,,"responsible for the safe keeping, dietary care, and exercise of animals.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000001,Agriculture,Arborist,,"maintains and cares for trees, often by surgically removing dying limbs.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000002,Agriculture,Baler,,"bales hay, or in the mills, wool and cotton goods.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000003,Agriculture,Beekeeper,,"owns and breeds bees, especially for their honey.",1,"Peasant, Farmer, Laborer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",3,7
100000000004,Agriculture,Breeder,,"breeds livestock, animals, or monsters.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000005,Agriculture,Cowherd,,supervises grazing cattle.,0,"Peasant, Farmer, Laborer","Commoner, Adventurer, Sailor, Guard, Entertainer",3,4
100000000006,Agriculture,Dairyboy,Dairymaid,milks cows and makes cheese and butter.,0,"Peasant, Farmer, Laborer","Peasant, Farmer, Laborer",3,3
100000000007,Agriculture,Falconer,,"keeps, trains, and hunts with falcons, hawks, or other birds of prey.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000008,Agriculture,Farmer,,operates a farm or cultivates land.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000009,Agriculture,Fisher,,catches fish.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000010,Agriculture,Florist,,grows and arranges plants and cut flowers.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",5,7
100000000011,Agriculture,Forager,,searches for food in the wild.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000012,Agriculture,Forester,,supervises the wellbeing of a forest.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000013,Agriculture,Fowler,,catches or ensnares birds.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000014,Agriculture,Gamekeeper,,"breeds and protects game, typically for a large estate.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000015,Agriculture,Groom,,"cleans and brushes the coats horses, dogs, or other animals.",0,"Peasant, Farmer, Laborer","Guild apprentice, Journeyman, Militia member",3,5
100000000016,Agriculture,Herder,,"supervises a herd of livestock or makes a living from keeping livestock, especially in open country.",0,"Peasant, Farmer, Laborer","Commoner, Adventurer, Sailor, Guard, Entertainer",3,4
100000000017,Agriculture,Horse Trainer,,tends to horses and teaches them different disciplines.,0,"Guild apprentice, Journeyman, Militia member","Master craftsman, Artisan, Miller, Scout",5,6
100000000018,Agriculture,Hunter,,hunts game or other wild animals.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000019,Agriculture,Lumberjack,,"fells trees, cuts them into logs, and transports them to a sawmill.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000020,Agriculture,Master-of-Horses,,supervises and commands all horses under a jurisdiction.,0,"Guild leader, Bishop, Bandit king, Ranger, Corsair, Low Government","Guild leader, Bishop, Bandit king, Ranger, Corsair, Low Government",8,8
100000000021,Agriculture,Master-of-Hounds,,"maintains a pack of hounds and their associated staff, equipment, and hunting arrangements.",0,"Guild leader, Bishop, Bandit king, Ranger, Corsair, Low Government","Guild leader, Bishop, Bandit king, Ranger, Corsair, Low Government",8,8
100000000022,Agriculture,Miller,,owns or works in a grain mill.,1,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000023,Agriculture,Miner,,"works underground in mines in order to obtain minerals such as coal, diamonds, or gold.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000024,Agriculture,Pathfinder,,scouts ahead and discovers a path or way for others.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000025,Agriculture,Plumer,,hunts birds for their plumes.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000026,Agriculture,Prospector,,"searches for mineral deposits, especially by drilling and excavation.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000027,Agriculture,Ranger,,wanders or ranges over a particular area or domain.,0,"Peasant, Farmer, Laborer","Guild leader, Bishop, Bandit King, Ranger, Corsair, Low Government",3,8
100000000028,Agriculture,Renderer,,converts waste animal tissue into usable materials.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000029,Agriculture,Sheperd,,"herds, tends, and guards sheep.",0,"Peasant, Farmer, Laborer","Commoner, Adventurer, Sailor, Guard, Entertainer",3,4
100000000030,Agriculture,Stablehand,,works in a stable.,0,"Peasant, Farmer, Laborer","Peasant, Farmer, Laborer",3,3
100000000031,Agriculture,Thresher,,separates grain from the plants by beating.,0,"Peasant, Farmer, Laborer","Commoner, Adventurer, Sailor, Guard, Entertainer",3,4
100000000032,Agriculture,Trapper,,"traps wild animals, especially for their fur.",0,"Peasant, Farmer, Laborer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",3,7
100000000033,Agriculture,Vintner,,"engages in winemaking, especially with monitoring and harvesting the grapes.",0,"Peasant, Farmer, Laborer","Guild leader, Bishop, Bandit King, Ranger, Corsair, Low Government",3,8
100000000034,Agriculture,Zookeeper,,maintains and cares for animals or monsters in a zoo.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000035,Architecture_Construction,Architect,,designs buildings or landscapes and in many cases supervises their construction.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000036,Architecture_Construction,Brickmaker,,"crafts bricks from clay, stone, or other materials.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000037,Architecture_Construction,Brickmason,,"builds with mineral products such as stones, bricks, cinder blocks, or tiles, usually with the use of mortar as a bonding agent.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000038,Architecture_Construction,Carpenter,,makes and repairs wooden objects and structures.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000039,Architecture_Construction,Construction Worker,,a laborer in the physical construction of a built environment and its infrastructure.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000040,Architecture_Construction,General Contractor,,"supervises a construction site, manages its vendors and trades, and communicates information to all involved parties.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000041,Architecture_Construction,Glazier,,fits glass into windows and doors.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000042,Architecture_Construction,Plasterer,,"applies plaster to walls, ceilings, or other surfaces.",0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000043,Architecture_Construction,Roadlayer,,paves roads or streets.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000044,Architecture_Construction,Roofer,,builds and repairs roofs.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000045,Architecture_Construction,Stonemason,,cuts and prepares stone for use in construction.,0,"Peasant, Farmer, Laborer","Master craftsman, Artisan, Miller, Scout",3,6
100000000046,Arts,Acrobat,,performs spectacular gymnastic feats.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Commoner, Adventurer, Sailor, Guard, Entertainer",4,4
100000000047,Arts,Actor,Actress,"impersonates characters, typically on stage in a theatrical production.",0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",4,7
100000000048,Arts,Aerialist,,performs acrobatics high above the ground on a tightrope or trapeze.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Commoner, Adventurer, Sailor, Guard, Entertainer",4,4
100000000049,Arts,Arranger,,adapts a musical composition for performance.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Commoner, Adventurer, Sailor, Guard, Entertainer",4,4
100000000050,Arts,Athlete,,proficient in sports and other forms of physical exercise.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",4,7
100000000051,Arts,Busker,,"performs in a public place, often for money.",0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Commoner, Adventurer, Sailor, Guard, Entertainer",4,4
100000000052,Arts,Celebrity,,a famous person.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Merchant, Soldier, Watchman, Archer, Business Owner, Renowed Entertainer",4,7
100000000053,Arts,Chef,,a professional cook trained in the culinary arts.,0,"Commoner, Adventurer, Sailor, Guard, Entertainer","Commoner, Adventurer, Sailor, Guard, Entertainer",4,4
