ID,Race,Subrace,Adult_Age_Min,Adult_Age_Max,Covering,Covering_Alt,Incidence,Size,Speed,Language,Str,Dex,Con,Int,Wis,Cha,Extra
10000000000,Aarakocra,none,3,30,Feathers,None,Very Rare,Medium,25,"Common, Aarakocra, Auran",0,2,0,0,1,0,50' fly; Talons (1d4)
10000000001,Aasimar,Variant,18,160,Hair,None,Rare,Medium,30,"Common, Celestial",0,0,0,0,1,2,60' Darkvision; Healing Hands; Light cantrip; Necrotic & Radiant res.; (-Healing Hands); Celestial Legacy (2 additional spells)
10000000002,Aasimar,Protector,18,160,Hair,None,Rare,Medium,30,"Common, Celestial",0,0,0,0,1,2,60' Darkvision; Healing Hands; Light cantrip; Necrotic & Radiant res.; Radiant Soul (mobility; damage buff)
10000000003,Aasimar,Scourge,18,160,Hair,None,Rare,Medium,30,"Common, Celestial",0,0,1,0,0,2,60' Darkvision; Healing Hands; Light cantrip; Necrotic & Radiant res.; Radiant Consumption (AoE damage; damage buff)
10000000004,Aasimar,Fallen,18,160,Hair,None,Very Rare,Medium,30,"Common, Celestial",1,0,0,0,0,2,60' Darkvision; Healing Hands; Light cantrip; Necrotic & Radiant res.; Necrotic Shroud (crowd control; damage buff)
10000000005,Bugbear,none,16,80,Fur,None,Monster,Medium,30,"Common, Goblin",2,1,0,0,0,0,60' Darkvision; +5' melee reach; Powerful Build; Surprise Attack; Stealth skill
10000000006,Centaur,none,3,400,Hair,Fur,Ravnica,Medium,40,"Common, Sylvan",2,0,0,0,1,0,Charge; Hooves; Equine Build; +1 skill (select); type fey
10000000007,Centaur,none,3,400,Hair,Fur,Monster,Medium,40,"Common, Sylvan",2,0,0,0,1,0,Charge; Hooves; Equine Build; Survival skill; type humanoid/monstrosity
10000000008,Changeling,none,14,100,Flesh,None,Eberron,Medium,30,"Common, +2",0,0,0,0,0,2,
10000000009,Dragonborn,none,15,80,Scales,None,Uncommon,Medium,30,"Common, Draconic",2,0,0,0,0,1,Breath Weapon (select elemental damage); Select elemental res.
10000000010,Dwarf,Hill,18,350,Hair,None,Common,Medium,25,"Common, Dwarf",0,0,2,0,1,0,60' Darkvision; Dwarven Combat Training; Stone-cunning; Adv. on poison saves; Poison Res.; Smith's/Brewer's/Mason's tools prof.; Speed not reduced by heavy armor; HP max +1 per level
10000000011,Dwarf,Mountain,18,350,Hair,None,Common,Medium,25,"Common, Dwarf",2,0,2,0,0,0,60' Darkvision; Dwarven Combat Training; Stone-cunning; Adv. on poison saves; Poison Res.; Smith's/Brewer's/Mason's tools prof.; Speed not reduced by heavy armor; Light & Medium Armor prof.
10000000012,Dwarf,Gray (Duergar),18,350,Hair,None,Rare,Medium,25,"Common, Dwarf, Undercommon",1,0,2,0,0,0,"60' Darkvision; Dwarven Combat Training; Stone-cunning; Adv. on poison saves; Poison Res.; Smith's/Brewer's/Mason's tools prof.; Speed not reduced by heavy armor; 120' Darkvision; Sunlight Sens.; Duergar Magic; Illusion, charm and paralysis res."
10000000013,Elf,High,50,750,Hair,None,Uncommon,Medium,30,"Common, Elvish",1,2,0,1,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Elf Weapon Training; +1 Wizard cantrip"
10000000014,Elf,Wood,50,750,Hair,None,Uncommon,Medium,5,"Common, Elvish",0,2,0,0,1,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Elf Weapon Training; Mask of the Wild"
10000000015,Elf,Drow,50,750,Hair,None,Uncommon,Medium,5,"Common, Elvish",0,2,0,0,0,1,"60' Darkvision; Fey Ancestry; Perception skill, Trance; 120' Darkvision; Sunlight Sens.; Drow Weapons Training; Drow Magic (spells)"
10000000016,Elf,Eladrin,50,750,Hair,None,Very Rare,Medium,5,"Common, Elvish",0,2,0,1,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Elf Weapon Training; Fey Step"
10000000017,Elf,Eladrin,50,750,Hair,None,Very Rare,Medium,5,"Common, Elvish",0,2,0,0,0,1,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Fey Step; Autumn, Winter, Spring, or Summer"
10000000018,Elf,Sea Elf,50,750,Hair,None,Very Rare,Medium,5,"Common, Elvish, Aquan",0,2,1,0,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Sea Elf Training; 30' swim; amphibious; Friend of the Sea"
10000000019,Elf,Shadar Kai,50,750,Hair,None,Very Rare,Medium,5,"Common, Elvish",0,2,1,0,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Blessing of the Raven Queen; Necrotic res."
10000000020,Elf,Avariel,50,750,Hair,None,Very Rare,Medium,5,"Common, Elvish, Auran",0,2,0,0,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Flight"
10000000021,Elf,Grugach,50,750,Hair,None,Greyhawk,Medium,5,"Elvish, Sylvan",1,2,0,0,0,0,"60' Darkvision; Fey Ancestry; Perception skill, Trance; Grugach Weapon Training; Cantrip (Druid)"
